iso3,regimen,modelo,mae_rel,dm_p,gana_sig
ECU,calma,Random Forest,0.8580757884328918,0.22786339665951846,False
ECU,calma,Ridge sobre rezagos,0.8908296942941702,0.3344179901159186,False
ECU,calma,Ingenuo,1.0,,False
ECU,calma,Deriva,1.007918077219575,0.07267790605853863,False
ECU,ruptura,Comb. LSTM/AR(1) suave,0.7099806541208449,,False
ECU,ruptura,LSTM(16),0.7129818757138937,,False
ECU,ruptura,Random Forest,0.7339232980589384,,False
ECU,ruptura,Comb. RF/AR(1) suave,0.7650940830959605,,False
ECU,ruptura,Comb. RF/ingenuo suave,0.8063716946115184,,False
ECU,ruptura,AR(1),0.8269174886982638,,False
ECU,ruptura,Comb. RF/AR(1) umbral min,0.8269174886982638,,False
ECU,ruptura,"ARMA(2,2)",0.8309884335314354,,False
ECU,ruptura,"ARIMA(1,1,1)",0.8623665955469021,,False
ECU,ruptura,Ridge sobre rezagos,0.8824617845663274,,False
ECU,ruptura,Comb. RF/AR(1) dura,0.9374912776949306,,False
ECU,ruptura,Ingenuo,1.0,,False
ECU,ruptura,Deriva,1.0056290949845068,,False
GTM,calma,Comb. RF/AR(1) suave,0.7134354589584807,0.02588815734284327,True
GTM,calma,Comb. RF/AR(1) dura,0.717947012271579,0.02522209931756181,True
GTM,calma,Comb. RF/AR(1) umbral min,0.737268316322267,0.00723962330097996,True
GTM,calma,LSTM(16),0.7384058175943649,0.04977410143439313,True
GTM,calma,AR(1),0.7577799771981839,0.003275469170142579,True
GTM,calma,"ARMA(2,2)",0.7671246596799778,0.03977405228150585,True
GTM,calma,Comb. RF/ingenuo suave,0.7703395241050279,0.041857327791999376,True
GTM,calma,"ARIMA(1,1,1)",0.7950085716085434,0.09625244669448622,False
GTM,calma,Random Forest,0.8629139032951201,0.3520859464985779,False
GTM,calma,Ridge sobre rezagos,0.8761498042638921,0.3190856258246404,False
GTM,calma,Ingenuo,1.0,,False
GTM,calma,Deriva,1.0150511371176634,0.0002243289609857888,False
GTM,ruptura,Comb. LSTM/AR(1) suave,0.6383909745502834,,False
GTM,ruptura,LSTM(16),0.6433491072895463,,False
GTM,ruptura,Comb. RF/AR(1) suave,0.7423334731578741,,False
GTM,ruptura,Comb. RF/AR(1) dura,0.7423334731578741,,False
GTM,ruptura,Comb. RF/ingenuo suave,0.7423334731578741,,False
GTM,ruptura,Random Forest,0.8020603985932497,,False
GTM,ruptura,Ridge sobre rezagos,0.8229510982007785,,False
GTM,ruptura,"ARIMA(1,1,1)",0.838865012895152,,False
GTM,ruptura,AR(1),0.8465346166836637,,False
GTM,ruptura,"ARMA(2,2)",0.8481573252633277,,False
GTM,ruptura,Comb. RF/AR(1) umbral min,0.8558550711399394,,False
GTM,ruptura,Ingenuo,1.0,,False
GTM,ruptura,Deriva,1.0062877233051202,,False
HTI,calma,LSTM(16),0.8320307462160673,0.2806818997086724,False
HTI,calma,AR(1),0.8635594108666842,0.32495039259604164,False
HTI,calma,Comb. RF/AR(1) dura,0.8648924043239008,0.33985170832123673,False
HTI,calma,Comb. RF/AR(1) umbral min,0.8678679740823378,0.33245582764818776,False
HTI,calma,Random Forest,0.8795218508004214,0.34085384198335883,False
HTI,calma,Comb. RF/AR(1) suave,0.8837857113914422,0.4105658725126144,False
HTI,calma,"ARIMA(1,1,1)",0.9031407664116896,0.3302002025095067,False
HTI,calma,Comb. RF/ingenuo suave,0.9200519890020147,0.5566673646203665,False
HTI,calma,"ARMA(2,2)",0.9353574976930077,0.5918777513826159,False
HTI,calma,Ingenuo,1.0,,False
HTI,calma,Deriva,1.0145501788246274,0.03529400432947232,False
HTI,calma,Ridge sobre rezagos,1.0161103372486082,0.9063332250274913,False
HTI,ruptura,Ingenuo,1.0,,False
HTI,ruptura,Deriva,1.0087950217943562,,False
HTI,ruptura,Random Forest,1.9265378911319335,,False
HTI,ruptura,"ARMA(2,2)",2.068460363640433,,False
HTI,ruptura,Comb. LSTM/AR(1) suave,2.1582049742995735,,False
HTI,ruptura,Ridge sobre rezagos,2.164464186535525,,False
HTI,ruptura,LSTM(16),2.244347224639454,,False
HTI,ruptura,"ARIMA(1,1,1)",2.2510423271228963,,False
HTI,ruptura,Comb. RF/AR(1) umbral min,2.3241422575688784,,False
HTI,ruptura,Comb. RF/AR(1) suave,2.3373493513846846,,False
HTI,ruptura,Comb. RF/AR(1) dura,2.3373493513846846,,False
HTI,ruptura,Comb. RF/ingenuo suave,2.3373493513846846,,False
HTI,ruptura,AR(1),2.4362022286369274,,False
MEX,calma,"ARMA(2,2)",0.8227267819167733,0.15504616205789237,False
MEX,calma,"ARIMA(1,1,1)",0.8316033848531482,0.12926548780026295,False
MEX,calma,Random Forest,0.8321897866635998,0.34099628077843436,False
MEX,calma,Comb. RF/ingenuo suave,0.8582204060881207,0.33882367859404433,False
MEX,calma,LSTM(16),0.8684339653924386,0.3113003874788494,False
MEX,calma,Comb. RF/AR(1) dura,0.8690203735865911,0.373818113368152,False
MEX,calma,Comb. RF/AR(1) suave,0.8725794055262364,0.40822092072981103,False
MEX,calma,Comb. RF/AR(1) umbral min,0.8802019156405391,0.3421096824257594,False
MEX,calma,AR(1),0.9260904200190078,0.525251057756875,False
