modelo,familia,origen,objetivo,paso,real,pronostico,error
"SARIMAX(1,0,1)+macro+COVID",con exogenas,2011,2012,1,3.91263576716115,4.327678190250948,0.415042423089798
VAR(2),con exogenas,2011,2012,1,3.91263576716115,6.028056993011489,2.1154212258503393
Ridge,regularizado,2011,2012,1,3.91263576716115,5.354632595632142,1.4419968284709923
Lasso,regularizado,2011,2012,1,3.91263576716115,4.57879644908755,0.6661606819263999
ElasticNet,regularizado,2011,2012,1,3.91263576716115,4.745163933808505,0.832528166647355
Factores PCA + AR,regularizado,2011,2012,1,3.91263576716115,5.196481922574386,1.283846155413236
Random Forest,aprendizaje,2011,2012,1,3.91263576716115,5.106623749499981,1.193987982338831
Gradient Boosting,aprendizaje,2011,2012,1,3.91263576716115,5.744264336751264,1.8316285695901136
MLP,aprendizaje,2011,2012,1,3.91263576716115,3.62372928751516,-0.2889064796459899
LSTM,red neuronal,2011,2012,1,3.91263576716115,4.744454167366263,0.8318184002051132
CNN 1D,red neuronal,2011,2012,1,3.91263576716115,4.8609914259840625,0.9483556588229125
Ingenuo,referencia,2012,2013,1,5.13399351995672,3.91263576716115,-1.2213577527955697
Media historica,referencia,2012,2013,1,5.13399351995672,4.218198254689321,-0.9157952652673984
Media 5 anios,referencia,2012,2013,1,5.13399351995672,3.95565631025039,-1.1783372097063296
Deriva,referencia,2012,2013,1,5.13399351995672,3.889565547215465,-1.2444279727412546
AR(1),Box-Jenkins,2012,2013,1,5.13399351995672,4.059256849750037,-1.0747366702066827
AR(2),Box-Jenkins,2012,2013,1,5.13399351995672,4.134494124552861,-0.9994993954038591
MA(1),Box-Jenkins,2012,2013,1,5.13399351995672,3.7276180639487926,-1.4063754560079271
MA(2),Box-Jenkins,2012,2013,1,5.13399351995672,3.867664110242752,-1.266329409713968
"ARMA(1,1)",Box-Jenkins,2012,2013,1,5.13399351995672,4.0793832401693235,-1.0546102797873962
"ARMA(2,1)",Box-Jenkins,2012,2013,1,5.13399351995672,3.95125030737605,-1.1827432125806698
"ARIMA(1,1,1)",Box-Jenkins,2012,2013,1,5.13399351995672,3.9790570643190395,-1.1549364556376802
"ARIMA(2,1,0)",Box-Jenkins,2012,2013,1,5.13399351995672,4.598011441717026,-0.5359820782396936
AR(1)+COVID,Box-Jenkins,2012,2013,1,5.13399351995672,4.059256849750037,-1.0747366702066827
"ARMA(1,1)+COVID",Box-Jenkins,2012,2013,1,5.13399351995672,4.0793832401693235,-1.0546102797873962
